months,multiple,gb_mon,security,backup,protection,support,unlimited,contract,paperless,monthly,satisfaction,churn_value,payment_Credit Card,payment_Mailed Check,internet_type_DSL,internet_type_Fiber Optic,internet_type_None,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E
3,1,0.0823529411764705,0,0,1,0,0,1,1,0.8134328358208955,2,1,0,0,0,1,0,0,0,0,0,0
1,0,0.2823529411764706,0,1,0,0,1,0,1,0.5512437810945274,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.1764705882352941,0,0,1,0,1,0,1,0.818407960199005,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.2823529411764706,0,1,0,0,0,0,1,0.5432835820895522,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.0705882352941176,0,0,0,0,1,0,1,0.5502487562189055,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0.1294117647058823,0,1,0,0,1,0,1,0.6084577114427862,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.2,0,0,0,0,1,0,1,0.6601990049751243,0,1,0,0,0,0,0,0,0,0,0,0
2,1,0.2235294117647058,0,0,1,0,0,0,1,0.8039800995024875,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.1294117647058823,0,0,0,0,1,0,0,0.2656716417910448,1,1,1,0,1,0,0,0,0,0,0,1
0,0,0.3176470588235294,1,0,0,1,1,0,0,0.8164179104477611,0,1,1,0,0,1,0,0,0,0,0,0
3,0,0.3294117647058823,0,1,0,0,1,0,1,0.1203980099502487,0,1,0,0,0,0,0,0,0,0,0,0
4,1,0.188235294117647,0,1,1,0,1,1,1,0.8507462686567163,0,1,0,0,0,1,0,0,0,0,0,0
2,1,0.1764705882352941,0,1,0,0,1,0,1,0.6203980099502486,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0.2705882352941176,0,0,0,0,1,0,1,0.7567164179104477,1,1,0,0,0,1,0,0,0,0,0,1
1,1,0.2705882352941176,0,0,0,0,1,0,1,0.5696517412935324,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.3411764705882353,0,0,1,0,1,0,1,0.8194029850746268,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0.0235294117647058,1,0,0,1,1,0,1,0.6970149253731343,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0.1058823529411764,0,0,1,0,1,0,1,0.7348258706467661,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0.2823529411764706,0,0,0,0,1,0,0,0.718407960199005,2,1,1,0,0,1,0,0,0,0,0,0
0,0,0.1176470588235294,0,0,1,1,1,0,1,0.2527363184079602,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0.2470588235294117,0,0,1,0,1,0,1,0.5577114427860697,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.3176470588235294,0,0,0,0,1,0,0,0.7109452736318408,1,1,0,0,0,1,0,0,0,0,0,0
1,1,0.188235294117647,0,0,1,0,1,0,1,0.817910447761194,2,1,1,0,0,0,0,0,0,0,0,0
2,1,0.3058823529411765,0,1,1,0,1,0,1,0.8696517412935324,2,1,0,0,0,1,0,0,0,0,0,0
0,1,0.3176470588235294,0,0,1,1,1,0,1,0.8537313432835821,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.1058823529411764,0,0,0,0,1,0,1,0.618407960199005,1,1,0,0,0,1,0,0,0,0,0,1
1,0,0.1647058823529411,0,0,1,0,1,0,1,0.4159203980099502,0,1,0,0,1,0,0,0,0,0,0,0
1,1,0.188235294117647,0,0,0,0,1,0,1,0.7751243781094528,1,1,0,0,0,1,0,0,0,0,0,0
3,0,0.3529411764705882,0,1,0,0,1,1,0,0.7661691542288557,1,1,1,0,0,1,0,0,0,0,0,0
4,1,0.2823529411764706,0,1,0,0,1,0,1,0.7099502487562188,0,1,0,0,0,1,0,1,0,0,0,0
0,0,0.3176470588235294,0,0,0,0,1,0,1,0.708955223880597,1,1,0,0,0,1,0,0,0,0,0,1
0,1,0.2588235294117647,0,0,0,0,1,0,1,0.6701492537313432,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0.2588235294117647,0,0,0,0,1,0,1,0.6800995024875621,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.2117647058823529,0,0,0,0,1,0,1,0.5074626865671642,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0.0588235294117647,0,0,0,0,1,0,1,0.0691542288557213,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.2823529411764706,0,0,0,0,1,0,1,0.7641791044776118,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.2823529411764706,0,0,0,0,1,0,1,0.6064676616915423,2,1,0,0,0,1,0,0,0,0,0,0
2,1,0.0470588235294117,0,1,1,0,1,0,1,0.7562189054726368,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.1176470588235294,0,1,1,0,1,0,1,0.8114427860696517,0,1,1,0,0,1,0,0,0,0,0,0
0,1,0.2117647058823529,0,0,0,0,1,0,1,0.7522388059701491,2,1,0,0,0,1,0,0,0,0,0,0
0,1,0.2117647058823529,0,0,0,0,1,0,1,0.6582089552238807,1,1,1,0,0,1,0,0,0,0,0,0
0,0,0.1058823529411764,0,0,1,0,1,0,1,0.5701492537313433,0,1,1,0,0,1,0,0,0,0,0,0
1,1,0.0941176470588235,0,0,0,0,0,0,1,0.7805970149253731,0,1,0,0,0,1,0,0,0,0,1,0
1,1,0.1058823529411764,0,1,0,0,1,0,1,0.6960199004975124,0,1,0,0,0,1,0,0,0,0,1,0
0,1,0.2235294117647058,0,0,0,0,1,0,0,0.5711442786069653,2,1,0,0,0,1,0,0,0,0,1,0
0,1,0.2352941176470588,0,0,0,0,1,0,1,0.5616915422885572,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.3058823529411765,0,0,0,0,0,0,1,0.0751243781094527,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0.1647058823529411,0,0,0,0,1,0,1,0.7671641791044775,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0.0705882352941176,0,0,0,0,0,0,0,0.2661691542288557,2,1,0,0,1,0,0,0,0,0,0,0
0,0,0.2235294117647058,0,0,0,0,1,0,1,0.618905472636816,1,1,0,0,0,1,0,0,0,0,1,0
0,0,0.1294117647058823,0,1,0,0,1,0,1,0.5616915422885572,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0.2352941176470588,0,0,1,0,0,0,1,0.7019900497512437,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0588235294117647,0,1,0,1,1,0,1,0.7044776119402985,0,1,0,0,0,1,0,0,0,0,1,0
1,0,0.2705882352941176,0,1,0,0,1,0,1,0.7611940298507462,1,1,0,0,0,1,0,0,0,0,1,0
1,1,0.0705882352941176,1,0,1,0,1,0,1,0.6676616915422885,0,1,0,0,0,1,0,0,0,0,1,0
1,0,0.0235294117647058,0,0,0,0,1,0,1,0.2666666666666666,0,1,0,0,1,0,0,0,0,0,0,0
2,1,0.2,0,0,0,0,1,0,1,0.6606965174129353,1,1,0,0,0,1,0,0,0,0,0,0
0,0,0.188235294117647,0,0,0,0,1,0,1,0.6054726368159203,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.1411764705882353,0,0,1,0,1,0,1,0.317412935323383,1,1,0,1,0,0,0,0,0,0,0,1
0,0,0.1764705882352941,0,0,0,0,1,0,1,0.5109452736318407,0,1,0,0,0,1,0,0,0,0,0,1
2,1,0.2705882352941176,1,1,1,0,1,0,1,0.944776119402985,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0470588235294117,0,0,0,0,0,0,1,0.7189054726368159,0,1,0,0,0,1,0,0,0,0,0,0
2,1,0.2705882352941176,0,0,0,0,1,0,1,0.664179104477612,0,1,0,0,0,1,0,0,0,0,0,0
2,1,0.1176470588235294,0,0,0,0,1,0,0,0.6671641791044776,0,1,0,0,0,1,0,0,0,0,0,0
3,0,0.0352941176470588,0,0,0,0,1,0,1,0.2646766169154229,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0.1647058823529411,0,0,0,0,1,0,0,0.2671641791044776,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0.3058823529411765,0,1,1,0,1,0,1,0.2492537313432835,2,1,0,0,1,0,0,0,0,0,0,1
2,0,0.3176470588235294,1,1,0,0,1,0,1,0.3870646766169153,0,1,1,0,1,0,0,0,0,0,0,0
2,1,0.2588235294117647,1,1,0,1,1,0,1,0.818407960199005,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0.1647058823529411,0,0,0,0,1,0,0,0.2671641791044776,0,1,1,0,1,0,0,0,0,0,0,1
2,0,0.3411764705882353,0,1,0,0,1,0,1,0.3199004975124377,2,1,0,0,1,0,0,0,0,0,0,0
0,0,0.2352941176470588,0,0,0,0,1,0,0,0.6039800995024875,2,1,0,0,0,1,0,0,0,0,0,1
0,1,0.0705882352941176,0,0,0,0,1,0,1,0.7492537313432835,0,1,0,0,0,1,0,0,0,0,0,1
4,1,0.2235294117647058,1,1,1,0,1,1,1,0.9014925373134328,0,1,0,0,0,1,0,0,0,0,0,0
1,1,0.0823529411764705,0,0,0,0,1,0,1,0.6616915422885572,1,1,0,0,0,1,0,0,0,0,0,0
0,0,0.3176470588235294,0,0,0,0,0,0,1,0.5144278606965175,1,1,0,0,0,1,0,0,0,0,0,1
0,1,0.1294117647058823,0,1,0,0,0,0,1,0.6243781094527363,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0.0823529411764705,0,0,1,0,1,0,1,0.781592039800995,0,1,0,0,0,1,0,0,0,0,0,0
2,0,0.1176470588235294,1,1,0,1,1,0,1,0.8945273631840797,0,1,1,0,0,1,0,0,0,0,0,0
2,1,0.0705882352941176,0,0,0,0,1,0,1,0.745771144278607,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.1529411764705882,0,0,0,0,1,0,1,0.5203980099502488,2,1,0,0,0,1,0,0,0,0,0,1
1,1,0.3294117647058823,0,0,1,0,0,0,1,0.7985074626865671,2,1,0,0,0,1,0,0,0,0,0,0
0,1,0.0705882352941176,0,0,0,0,1,0,1,0.7661691542288557,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.2,0,0,0,0,1,0,1,0.5587064676616916,2,1,1,0,0,1,0,0,0,0,0,0
0,1,0.3294117647058823,0,0,1,0,1,0,1,0.699502487562189,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0235294117647058,0,0,0,0,1,0,1,0.726865671641791,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.2588235294117647,0,0,0,0,1,0,1,0.5159203980099502,1,1,1,0,0,1,0,0,0,0,0,0
3,1,0.2470588235294117,0,1,1,0,1,0,1,0.7661691542288557,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0.2705882352941176,0,0,1,0,1,0,1,0.8213930348258706,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0.0941176470588235,0,1,0,0,1,0,1,0.5791044776119403,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.2352941176470588,0,0,1,0,1,0,1,0.6825870646766168,1,1,0,0,0,1,0,0,0,0,0,0
4,1,0.2941176470588235,0,0,1,0,1,0,1,0.808457711442786,0,1,1,0,0,1,0,1,0,0,0,0
4,1,0.0470588235294117,0,1,1,1,1,2,1,0.8970149253731344,2,1,0,0,0,1,0,1,0,0,0,0
0,1,0.0352941176470588,0,0,1,1,0,0,1,0.6447761194029851,2,1,0,0,0,1,0,0,0,0,0,0
3,1,0.0470588235294117,0,1,1,0,1,1,1,0.8606965174129354,2,1,0,0,0,1,0,0,0,0,0,0
1,1,0.1058823529411764,0,0,0,0,1,0,1,0.7562189054726368,1,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0941176470588235,0,0,0,0,1,0,1,0.5164179104477612,1,1,0,0,0,1,0,0,0,0,0,0
2,1,0.0352941176470588,0,1,1,0,1,0,0,0.8766169154228854,1,1,0,0,0,1,0,0,0,0,0,0
2,1,0.2352941176470588,0,0,0,0,1,0,1,0.7592039800995024,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0.0705882352941176,0,0,0,0,1,0,1,0.0616915422885571,2,1,1,0,1,0,0,0,0,0,0,0
0,1,0.1529411764705882,0,0,0,0,0,0,1,0.6621890547263681,2,1,0,0,0,1,0,0,0,0,0,0
2,1,0.0470588235294117,0,1,0,0,1,0,1,0.8129353233830846,2,1,0,0,0,1,0,0,0,0,0,0
0,1,0.0823529411764705,0,1,1,0,1,0,1,0.861691542288557,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.1058823529411764,0,0,0,0,1,0,1,0.5567164179104478,0,1,1,0,0,1,0,0,0,0,0,0
4,1,0.1764705882352941,0,0,0,0,1,0,1,0.7522388059701491,1,1,0,0,0,1,0,0,0,0,0,0
3,1,0.2,1,1,1,0,1,0,1,0.8203980099502487,0,1,0,0,0,1,0,0,0,0,0,0
1,1,0.0705882352941176,0,1,0,0,1,0,1,0.7109452736318408,2,1,0,0,0,1,0,0,0,0,0,0
1,1,0.1647058823529411,0,0,0,0,1,0,1,0.7776119402985074,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.1764705882352941,0,0,0,0,0,0,1,0.5099502487562189,1,1,0,0,0,1,0,0,0,0,0,0
2,1,0.0588235294117647,0,0,0,0,1,0,1,0.6666666666666666,1,1,1,0,0,1,0,0,0,0,0,0
3,0,0.2,1,0,1,0,1,1,0,0.4422885572139303,0,1,1,0,1,0,0,0,0,0,0,0
1,1,0.2588235294117647,0,1,1,0,1,0,0,0.872636815920398,1,1,1,0,0,1,0,0,0,1,0,0
2,1,0.2705882352941176,0,0,0,0,0,0,1,0.7701492537313434,0,1,0,0,0,1,0,0,0,1,0,0
2,0,0.2470588235294117,0,0,1,1,1,0,1,0.8024875621890547,1,1,0,0,0,1,0,0,0,1,0,0
0,1,0.3294117647058823,0,0,0,0,1,0,1,0.5751243781094527,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0588235294117647,0,0,0,0,1,0,1,0.5124378109452736,0,1,0,0,0,1,0,0,0,0,0,0
2,1,0.2941176470588235,0,1,1,1,0,0,1,0.9174129353233832,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0.0235294117647058,0,0,1,0,1,0,1,0.8059701492537313,1,1,0,0,0,1,0,0,0,0,0,0
1,1,0.1764705882352941,0,0,1,0,1,0,1,0.6129353233830845,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0235294117647058,0,0,0,0,1,0,1,0.618905472636816,0,1,1,0,0,1,0,0,0,0,0,0
0,1,0.3294117647058823,1,0,0,0,1,0,1,0.8213930348258706,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0.2117647058823529,0,0,0,0,1,0,1,0.6069651741293532,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0.0705882352941176,0,0,0,0,1,0,1,0.708955223880597,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0.2705882352941176,0,0,0,0,1,0,1,0.6746268656716418,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0470588235294117,0,0,0,0,1,0,1,0.163681592039801,0,1,0,0,1,0,0,0,0,0,1,0
3,1,0.0705882352941176,1,0,0,1,0,1,1,0.4159203980099502,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0.0941176470588235,0,1,0,0,1,0,1,0.5577114427860697,0,1,1,0,0,1,0,0,0,0,1,0
0,1,0.3176470588235294,0,0,0,0,1,0,1,0.5601990049751243,0,1,0,0,0,1,0,0,0,0,0,0
2,1,0.2588235294117647,0,0,1,1,1,0,1,0.8621890547263681,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0.3411764705882353,0,0,0,0,0,0,1,0.5587064676616916,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.2352941176470588,0,0,0,0,1,0,1,0.5119402985074627,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.3176470588235294,0,1,1,0,1,0,1,0.7945273631840796,2,1,0,0,0,1,0,0,0,0,1,0
0,1,0.2352941176470588,1,0,0,0,1,0,1,0.8094527363184079,0,1,0,0,0,1,0,0,0,0,0,0
4,1,0.2352941176470588,0,1,1,0,1,0,1,0.8427860696517412,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0588235294117647,0,0,0,0,1,0,1,0.5248756218905473,2,1,0,0,0,1,0,0,0,0,0,0
3,0,0.3058823529411765,0,0,0,0,1,0,0,0.5203980099502488,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0941176470588235,0,0,0,0,1,0,1,0.5074626865671642,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.0823529411764705,0,1,1,1,0,0,1,0.6522388059701492,0,1,1,0,0,0,0,0,0,0,1,0
3,0,0.2941176470588235,0,1,1,0,1,0,1,0.3601990049751243,1,1,0,0,1,0,0,0,0,0,0,0
2,1,0.1764705882352941,0,0,1,0,1,0,1,0.8114427860696517,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0.2,0,0,0,0,1,0,1,0.5174129353233831,1,1,1,0,0,1,0,0,0,0,0,0
4,1,0.0470588235294117,0,1,0,0,0,0,1,0.7134328358208956,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.1294117647058823,0,0,0,0,1,0,1,0.564179104477612,2,1,0,0,0,1,0,0,0,0,1,0
2,0,0.1058823529411764,0,1,0,0,1,0,1,0.5587064676616916,0,1,0,0,0,1,0,0,0,1,0,0
3,0,0.2823529411764706,0,0,0,0,1,0,1,0.5253731343283582,2,1,0,0,0,0,0,0,0,0,0,0
0,0,0.1529411764705882,0,0,1,0,1,0,1,0.1208955223880596,0,1,0,0,1,0,0,0,0,0,0,0
1,1,0.3411764705882353,0,1,1,0,1,0,1,0.8771144278606965,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.2941176470588235,0,0,0,0,1,0,1,0.6696517412935323,2,1,0,0,0,1,0,0,0,0,0,1
2,0,0.0470588235294117,0,1,1,0,1,0,1,0.6109452736318408,2,1,1,0,0,1,0,0,0,1,0,0
0,0,0.0,0,0,0,0,0,0,1,0.0119402985074626,0,1,0,0,0,0,1,0,0,0,0,0
2,1,0.1058823529411764,0,0,0,0,1,0,1,0.6736318407960199,2,1,1,0,0,1,0,0,0,1,0,0
1,0,0.188235294117647,0,0,0,1,1,0,0,0.4094527363184079,0,1,0,0,1,0,0,0,0,0,0,0
2,1,0.0235294117647058,0,0,0,1,1,0,1,0.8089552238805969,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0.2352941176470588,0,1,1,1,1,0,1,0.7646766169154228,2,1,1,0,0,1,0,0,0,0,0,1
1,0,0.188235294117647,0,0,0,0,1,0,0,0.6293532338308457,1,1,0,0,0,1,0,0,0,0,0,0
0,0,0.2352941176470588,0,0,0,0,1,0,1,0.1810945273631841,0,1,1,0,1,0,0,0,0,0,0,1
0,0,0.2470588235294117,0,0,0,0,1,0,0,0.0676616915422885,0,1,1,0,1,0,0,0,0,0,0,1
2,0,0.2470588235294117,0,1,1,0,1,0,0,0.3711442786069651,0,1,1,0,1,0,0,0,1,0,0,0
0,1,0.0470588235294117,0,0,0,0,1,0,1,0.6805970149253732,0,1,0,0,0,0,0,0,0,0,0,0
2,1,0.0235294117647058,1,1,0,0,1,0,1,0.8805970149253731,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0.0470588235294117,0,1,0,0,1,0,1,0.8268656716417909,0,1,0,0,0,1,0,0,0,0,0,0
2,1,0.3411764705882353,0,0,0,0,0,0,1,0.7681592039800995,1,1,0,0,0,1,0,0,0,1,0,0
0,0,0.1176470588235294,0,0,0,0,1,0,1,0.5109452736318407,1,1,0,0,0,1,0,0,0,0,0,1
0,0,0.1529411764705882,0,0,0,0,1,0,0,0.5990049751243781,0,1,0,0,0,1,0,0,0,0,0,1
0,1,0.2470588235294117,0,0,0,0,1,0,1,0.6587064676616915,2,1,0,0,0,1,0,0,0,0,0,1
2,0,0.3529411764705882,0,1,1,1,1,1,1,0.5164179104477612,2,1,1,0,0,0,0,0,0,1,0,0
3,1,0.1294117647058823,0,0,1,0,1,0,1,0.7915422885572139,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0.2941176470588235,0,0,0,0,1,0,1,0.645771144278607,2,1,1,0,0,1,0,0,0,0,0,0
0,1,0.2941176470588235,0,0,0,0,1,0,1,0.5691542288557214,2,1,1,0,0,1,0,0,0,0,0,0
0,0,0.0705882352941176,1,1,0,0,1,0,0,0.3641791044776119,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0.1294117647058823,0,0,0,0,1,0,1,0.7646766169154228,0,1,0,0,0,1,0,0,0,0,0,0
3,1,0.0705882352941176,0,1,0,0,1,0,1,0.8323383084577115,0,1,0,0,0,1,0,0,1,0,0,0
3,1,0.3529411764705882,1,0,1,0,1,0,1,0.7517412935323382,0,1,0,0,0,1,0,0,1,0,0,0
4,1,0.0235294117647058,0,1,1,0,1,2,1,0.854726368159204,2,1,0,0,0,1,0,0,0,0,0,0
0,0,0.1294117647058823,0,0,0,0,1,0,1,0.7278606965174129,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0.2117647058823529,0,0,0,0,1,0,1,0.5681592039800994,2,1,0,0,0,1,0,0,0,0,0,0
0,1,0.0588235294117647,0,0,0,0,1,0,1,0.6621890547263681,1,1,1,0,0,1,0,0,0,0,0,0
3,1,0.0470588235294117,0,1,1,0,0,0,1,0.7641791044776118,2,1,0,0,0,1,0,0,1,0,0,0
0,0,0.3294117647058823,0,0,1,0,1,0,0,0.3194029850746268,0,1,0,0,1,0,0,0,0,0,0,0
0,1,0.1411764705882353,0,1,0,0,1,0,1,0.7119402985074627,0,1,0,0,0,1,0,0,0,0,0,0
